,grupo,puntuacion,pasa
0,A,85.9802849180674,1
1,A,82.1704141929729,1
2,A,86.88613122860416,1
3,A,92.13817913844815,1
4,A,81.59507975165998,1
5,A,81.59517825830491,1
6,A,92.47527689304435,1
7,A,87.60460837491745,1
8,A,80.18315368439029,1
9,A,86.25536026151579,1
10,A,80.21949384312522,1
11,A,80.20562147857846,1
12,A,84.4517736293962,1
13,A,71.52031853205321,1
14,A,72.6504930049218,1
15,A,79.62627482455416,1
16,A,76.92301327799346,1
17,A,84.88548399557165,1
18,A,77.55185554687273,1
19,A,74.52617779198825,1
20,A,91.79389261352932,1
21,A,81.64534219708078,1
22,A,83.40516922812755,1
23,A,74.45151088271926,1
24,A,79.7337036528489,1
25,A,83.66553553825919,1
26,A,76.09403853546618,1
27,A,85.25418811007403,1
28,A,79.39616786048717,1
29,A,81.24983750124034,1
30,A,79.38976032662362,1
31,A,94.11366910705362,1
32,A,82.91901665157239,1
33,A,76.65373442626459,1
34,A,87.93526947261914,1
35,A,75.67493810017386,1
36,A,84.25318157002853,1
37,A,71.24197925672135,1
38,A,75.03088370660942,1
39,A,84.18116741521474,1
40,A,87.43079947997246,1
41,A,84.02820968713982,1
42,A,82.30611030567056,1
43,A,81.19337782646427,1
44,A,74.12886805779544,1
45,A,78.68093474963175,1
46,A,80.23616737424128,1
47,A,89.34273335731349,1
48,A,85.06170973741077,1
49,A,72.4217590678236,1
50,A,84.94450381636877,1
51,A,80.6895063175021,1
52,A,78.93846799816424,1
53,A,86.67005773304521,1
54,A,89.18599713497571,1
55,A,88.58768071469719,1
56,A,77.96469486066417,1
57,A,81.14472574489271,1
58,A,84.98758058842138,1
59,A,88.85327076273416,1
60,B,76.02602993446757,1
61,B,77.63891375881818,1
62,B,85.48376163073956,1
63,B,84.66222159260079,1
64,B,80.87459043621512,1
65,B,81.70396429985269,1
66,B,88.66598937473054,1
67,B,77.45057166698501,1
68,B,84.28258428702023,1
69,B,79.78684408539664,1
70,B,79.69391278063668,1
71,B,87.59266111192314,1
72,B,85.95249809392818,1
73,B,85.88105781600383,1
74,B,88.83287284292598,1
75,B,81.12602304979656,1
76,B,85.09171782776978,1
77,B,79.13839946043926,1
78,B,82.94499811493066,1
79,B,80.2191416737939,1
80,B,81.5819757899563,1
81,B,84.57094215262148,1
82,B,76.09067590059917,1
83,B,93.55432365411276,1
84,B,74.96389571100178,1
85,B,73.7148683232736,1
86,B,87.94866524100041,1
87,B,85.74997616377762,1
88,B,84.74471890231293,1
89,B,84.77007305558568,1
90,B,80.92651936291851,1
91,B,75.61647377108501,1
92,B,81.45482734916236,1
93,B,76.93702973092734,1
94,B,86.85071840050651,1
95,B,80.11765571098717,1
96,B,76.04701681924493,1
97,B,79.07168495008204,1
98,B,83.47758872565375,1
99,B,77.61765268317615,1
100,B,76.0666776266014,1
101,B,82.46212326895147,1
102,B,82.46979942665234,1
103,B,77.95834094777322,1
104,B,78.17377016629007,1
105,B,82.39229962414582,1
106,B,72.31149395101606,1
107,B,72.55521735374067,1
108,B,76.68933467248539,1
109,B,79.71931708972892,1
110,B,82.86544539358803,1
111,B,89.85213730169731,1
112,B,86.14595773921212,1
113,B,80.04036882021944,1
114,B,80.88590275258387,1
115,B,74.98482381217315,1
116,B,80.88892118404566,1
117,B,79.26804816647918,1
118,B,82.93631136202853,1
119,B,76.03661433868606,1
120,C,87.74619168225829,1
121,C,77.54367527123156,1
122,C,91.4167658656166,1
123,C,74.58889362324632,1
124,C,86.52114256280163,1
125,C,96.14273375485988,1
126,C,77.05678204921587,1
127,C,79.60221362238337,1
128,C,83.59790819052584,1
129,C,79.97914607530281,1
130,C,73.69601941360321,1
131,C,83.41137784883617,1
132,C,76.62617771764337,1
133,C,85.84155458381109,1
134,C,77.48345459459718,1
135,C,92.29960643010523,1
136,C,78.30048024598258,1
137,C,81.06763090276594,1
138,C,87.88110330421802,1
139,C,75.61481410139626,1
140,C,84.36475960762478,1
141,C,90.84285652569457,1
142,C,73.35510059263264,1
143,C,84.10780315119382,1
144,C,84.55929676549054,1
145,C,87.69093723066386,1
146,C,75.57829573473151,1
147,C,75.07726032149434,1
148,C,86.13164939370138,1
149,C,84.78190803939911,1
150,C,84.50295710207526,1
151,C,85.07868925698186,1
152,C,78.91985167052906,1
153,C,84.39352218296602,1
154,C,84.75843483979209,1
155,C,78.71389149184179,1
156,C,94.19464706686854,1
157,C,85.84299752547072,1
158,C,75.8521790167841,1
159,C,86.93932165180298,1
160,C,77.15190997863607,1
161,C,87.72250762245471,1
162,C,89.95157347404442,1
163,C,78.07590608988974,1
164,C,88.78025677546593,1
165,C,85.47668556161899,1
166,C,87.93236095996694,1
167,C,94.38075789592368,1
168,C,81.52767130398277,1
169,C,78.47758301385507,1
170,C,77.66291342224686,1
171,C,78.10513829020736,1
172,C,82.53738974351538,1
173,C,85.04691184889987,1
174,C,84.66014479598012,1
175,C,87.96309949421614,1
176,C,83.07801135126745,1
177,C,91.7212044629439,1
178,C,81.41205900057227,1
179,C,99.32101499953771,1
180,D,83.75400408659004,1
181,D,74.8570546615023,1
182,D,73.57464501163332,1
183,D,82.89483449145911,1
184,D,78.6592232880449,1
185,D,84.28400296455256,1
186,D,82.83942574744127,1
